,Tweets
148,"No time wasting. 🤸
Lakukan perenggangan setelah perjalanan, siap sambut official training esok hari. 💪🏼 https://t.co/5uCkrrbvnB"
149,Halo Tangerang! 🤟🏼 https://t.co/HqOTrqCZGc
150,"Waktunya berangkat menuju Tangerang. 🔜

Semoga perjalanan lancar, selamat sampai tujuan. https://t.co/Z0GwF3rCV7"
151,✈️Travel squad to Tangerang https://t.co/cNhUP9d2Ew
152,@CongyangSquad @coffebit ndilalah wae mazzehh 🥲
153,@coffebit Sabar sek to...
154,"🔵Team News

📰PSIS dan KFC siap kolaborasi untuk arungi Liga 1 2022/2023

✅ https://t.co/MOTiy7XD9O https://t.co/nlu2YCsFRj"
155,"Terimakasih Coach Sergio. 

https://t.co/XWS0OOTYbe"
156,Akhir pertandingan di Surabaya dengan hasil yang tidak diharapkan. Kami mohon maaf dan harus segera bangkit. Ayo Se… https://t.co/8WshXWkdhj
157,"'90+5 Persebaya cetak gol. 1-0

#PSISDAY"
158,"'90+2 Wahyu Tri lagi!! Save krusial untuk cegah Persebaya mencetak gol lewat Leo Lelis.

#PSISDAY"
159,"'90+1 Tendangan Marukawa masih mampu dihalau Satria Tama

#PSISDAY"
160,"Tambahan waktu 5 menit

#PSISDAY"
161,"Pergantian pemain:

Ofan keluar
Reza masuk

#PSISDAY"
162,"Pergantian pemain:

Andreas keluar
Wawan masuk

#PSISDAY"
163,"'75 WAHYU TRI!! Kembali berhasil mengamankan usaha Juninho dalam mencetak gol, tendangan Juninho mampu di blok deng… https://t.co/tkcR3U5uFx"
164,"'71 Tendangan spekulasi Fredyan masih mampu dimentahkan Satria Tama. Ayo serang terosss!!

#PSISDAY"
165,"Pergantian pemain:

Delfin, Guntur keluar
Syiha, Hari Nur masuk

#PSISDAY"
166,"Pergantian pemain:

Redondo keluar,
Wahyu 'Rembo' Tri masuk"
167,"Kick-off babak kedua, AYO SEMARANG!! ⚽️⚽️

#PSISDAY"
168,"Setengah main. ⚽️

#PSISDAY https://t.co/89Mx6xSCjS"
169,"Tambahan waktu 1 menit babak pertama.

#PSISDAY"
170,"'43 Kembali, Redondo terbang untuk mentahkan usaha dari tendangan Nufiandani

#PSISDAY"
171,"'31 Upaya dari Andreas lewat sundulan sambut umpan Frendi masih terlalu tinggi dari target.

#PSISDAY"
172,"'30 Tendangan jarak jauh dari Fredyan Ucil masih melebar dari gawang Persebaya.

#PSISDAY"
173,"'19 Redondo kembali menggagalkan usaha dari tendangan Nufiandani.

#PSISDAY"
174,"'13 Redondo berhasil menepis laju bola hasil tendangan bebas dari Leo Lelis.

#PSISDAY"
175,"Kick-off babak pertama!

🟢Persebaya Surabaya 🆚 PSIS Semarang⚪️

#PSISDAY"
176,Sesaat lagi! Lanjutan BRI Liga 1 2022/23 antara PSIS Semarang yang hadapi tuan rumah Persebaya Surabaya akan dimula… https://t.co/2TZkpXoWTD
177,"The time is NOW! ⚡️

#PSISDAY https://t.co/YqGBKSoupz"
178,"Sebelas pertama hari ini kontra Persebaya Surabaya! ⚔️

#PSISDAY https://t.co/rxOqxRPkfA"
179,"Prediksi starting 1️⃣1️⃣? 🤔

#PSISDAY"
180,"📍PSIS telah tiba di Gelora Bung Tomo. 

#PSISDAY https://t.co/BsxQUxSwuC"
181,"𝗧𝗼𝗴𝗲𝘁𝗵𝗲𝗿 𝘄𝗲 𝗳𝗶𝗴𝗵𝘁
𝗧𝗼𝗴𝗲𝘁𝗵𝗲𝗿 𝘄𝗲 𝗰𝗮𝗻
𝗧𝗼𝗴𝗲𝘁𝗵𝗲𝗿 𝗮𝘀 BLUE

#PSISDAY! ⚔️🔵 https://t.co/1K62VGwCp7"
182,"🎙💬""Apapun itu saya tetap profesional untuk pertandingan besok. Apalagi bermain di GBT selalu membawa spirit tersend… https://t.co/eTGefhxQuy"
183,💙 https://t.co/cZgSTu4Wle
184,"Esok berjuang bersama di Surabaya. 
Ayo Semarang!! ⚽️🔵 https://t.co/4fn7vTsk9i"
185,"Travel squad to Surabaya. ✈️
Pemain-pemain yang akan berjuang nanti di Surabaya. Wahyu Prast tidak diberangkatkan k… https://t.co/riumajXwQc"
186,4️⃣6️⃣⚡️ https://t.co/aF3RGs5qAI
187,"Merah Putih di laga PSIS vs Persik 🇮🇩

@PanserBiruTweet @Snex2005 💙 https://t.co/G13glZMwo3"
188,Terimakasih untuk dukungan yang hadir dan terkirim sepanjang laga. Kami yakin kami tidak pernah berjalan sendirian… https://t.co/OoVbPJMmj5
189,"Another 3️⃣ points at 🏠

#PSISDAY https://t.co/ejos1CK2j2"
190,"Tambahan waktu 3 menit.

#PSISDAY"
191,"Pergantian pemain:

Jonathan, Andreas keluar
Ofan, Aqsha masuk

#PSISDAY"
192,"Pergantian pemain:

Dewa keluar, 
Guntur masuk

#PSISDAY"
193,"Pergantian pemain: 

Delfin keluar,
Eka masuk

#PSISDAY"
194,"Kemelut di gawang Persik Kediri mampu di maksimalkan Jonathan untuk menceploskan bola ke gawang. 2-1 quick response!!! 💥💥

#PSISDAY"
195,"GOLAZO FROM JONATHAN CANTILLANA ZORRILLAAAA!!!! 2-1

#PSISDAY"
196,"Gol untuk Persik 1-1. 

#PSISDAY"
197,"'54 Krusial! Penyelamatan Redondo hentikan usaha sodoran bola dari Pahabol. 

#PSISDAY"
198,"Pergantian pemain

Wawan masuk,
Hari Nur keluar

#PSISDAY"
199,"Kick-off babak kedua! Tambah atau pertahankan. AYO SEMARANG!! 

PSIS 1 v 0 Persik 

#PSISDAY"
